,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
2,alb,1997,energy,12.8071,3.0441,195.573,19.9136,0.57,7.788,21.7902,17.113,5.2173,4.8667,5.1899,4.1073,14.2867,9.3565,1.9809,4.3321,2.1326,0.2622,35.8618,26.3265,11.4005,0.8181,0.0851,0.1182,6.4698,0.7543,5.4805,energy,2.1284,1.467,103.72,0.5896,0.0649,3.737,19.6156,15.4343,1.9173,0.5194,2.6256,0.84,14.2889,1.348,0.9543,3.2601,1.3847,0.0054,0.073,0.2277,2.8167,0.3293,0.0188,0.0105,0.1329,0.0917,0.2251,0.64915,0.328693,0.542429,0.573427,0.384193
217,bwa,1997,otherprim,0.0102,1933.24,0.0044,0.3431,0.0431,0.0046,0.0047,0.0012,0.0021,0.0037,0.0177,0.0083,0.0002,0.0116,0.3369,0.0076,0.2385,0.0035,7.8737,0.0659,0.1221,0.0023,0.0184,0.0031,0.1511,0.0193,1.1105,otherprim,0.0025,1928.11,0.0028,0.0992,0.0008,0.0044,0.0041,0.0012,0.0005,0.0028,0.0147,0.0013,0.0002,0.0044,0.3365,0.0066,0.0489,0.0002,0.088,0.0061,0.0912,0.0008,0.0019,0.0011,0.0793,0.0041,0.0192,0.908893,0.718848,0.883342,0.772706,0.805127
1107,mwi,1997,primaryagr,600.058,0.1818,0.0219,48.2969,2.959,7.6019,4.195,0.1438,0.0986,0.0871,1.2214,0.0161,0.0004,0.0117,0.0061,0.0153,0.1045,0.0163,0.2075,5.5173,0.1418,0.0218,0.0041,0.0014,0.0628,0.0796,0.1365,primaryagr,280.082,0.0016,0.0157,4.0677,0.0284,5.4009,2.0221,0.0086,0.0041,0.004,0.0248,0.0002,0.0002,0.0002,0.0028,0.0025,0.0018,0.0002,0.0116,0.1312,0.0583,0.0019,0.001,0.001,0.0285,0.0042,0.0036,0.580341,0.685462,0.718619,0.519479,0.69592
1266,phl,1997,obsict,133.259,9.0916,3.933,244.326,36.4692,2.5983,6.6361,3.7896,4.8511,1.0451,6.4323,2.1435,5.2337,1.0251,8.7416,98.6602,5.5574,1.6797,80.0918,258.377,169.055,4.6856,5.6215,31.2431,8262.91,67.8322,435.553,obsict,13.2594,1.7059,0.5533,23.5363,1.2356,2.3466,6.9352,4.7376,5.1177,0.5669,4.4455,2.2199,8.2796,2.8531,3.6355,109.878,3.7204,0.0525,0.4105,13.5897,93.5859,0.4182,0.6948,2.9074,7950.8,1.397,3.3846,0.641131,0.27619,0.559777,0.420969,0.460769
1566,tza,1997,primaryagr,1630.63,2.1109,1.0143,428.138,137.533,7.2218,5.0822,6.5237,0.5145,0.2555,1.3562,0.1661,0.1491,0.2033,0.6998,0.2027,0.3598,0.0131,1.2197,10.4193,1.7174,0.3421,0.0201,0.0048,0.4147,0.0328,93.8929,primaryagr,372.998,0.2323,0.0518,31.4668,4.5299,4.1946,0.6731,0.9568,0.0677,0.0372,0.192,0.0296,0.1518,0.009,0.0261,0.0713,0.3308,0.0013,0.0378,0.9473,1.0685,0.1471,0.0179,0.0045,0.2409,0.0253,1.933,0.688092,0.433264,0.568589,0.455348,0.473088
1593,uga,1997,primaryagr,3085.33,3.7818,1.3117,112.57,90.34,1.2261,0.7104,0.4027,-0.0041,0.918,0.0286,-0.0904,0.2017,0.0559,0.1518,0.3609,1.4113,0.346,18.2441,33.052,10.1135,0.1022,0.0508,0.05,0.7177,4.0795,62.958,primaryagr,456.159,0.1326,0.7038,15.8338,0.3964,0.2638,0.0233,0.1213,0.0028,0.1295,0.0148,0.0142,0.2134,0.0029,0.094,0.2935,0.0514,0.0061,0.1963,0.6981,2.4512,0.0811,0.0325,0.0216,0.3968,0.2585,0.9105,0.947991,0.642662,0.777451,0.722292,0.704787
1676,ven,1997,energy,113.903,31.1456,13348.3,183.752,62.5965,39.4348,85.7173,32.482,44.7104,54.3263,307.605,44.2366,504.31,115.746,141.845,76.6006,4.8948,19.0351,371.595,337.995,402.795,47.5389,19.0671,84.0776,85.7125,154.105,338.419,energy,5.3285,18.2007,12706.4,8.9462,2.7571,5.9901,1.1394,1.3048,0.908,8.4498,87.2467,33.9045,507.138,25.7959,20.0651,12.3688,1.8496,0.1781,0.4157,3.1327,60.0207,1.3465,0.4042,1.2607,7.9254,4.4582,8.4492,0.558885,0.690344,0.74748,0.66879,0.70736
2041,bwa,2001,othermanuf,0.2153,0.0813,0.0346,4.93,1.5525,0.0551,0.0465,0.0857,0.1285,0.2831,0.929,0.0762,0.0016,0.3779,1.4172,0.9133,923.009,0.0338,5.7151,0.3368,0.375,0.0311,0.0753,0.0108,0.2408,0.2514,4.4277,othermanuf,0.0539,0.0425,0.0251,1.1804,0.0372,0.052,0.0354,0.0822,0.0566,0.2134,0.6864,0.0052,0.0016,0.0851,1.3774,0.8542,906.885,0.0033,0.0166,0.025,0.2709,0.0041,0.0071,0.0025,0.0558,0.0617,0.1503,0.360447,0.74877,0.655173,0.370308,0.743054
2648,irn,2001,energy,517.657,84.2416,21232.7,930.151,7.2707,89.2209,134.139,92.9573,27.7675,55.9907,732.406,53.5086,144.219,34.9104,120.632,246.42,373.13,48.4741,1232.72,881.068,1321.2,37.0155,11.4354,24.4109,57.6358,263.498,1307.48,energy,97.6709,29.1297,15855.2,23.6475,0.4144,49.2933,5.0798,17.3334,2.375,5.5955,464.287,39.2554,144.531,11.0517,4.2502,37.9977,9.5067,0.3042,0.2153,9.1913,208.762,0.973,1.8056,7.8642,43.6997,4.0761,11.0094,0.67293,0.744122,0.807719,0.77452,0.764497
3024,mwi,2001,primaryagr,410.472,0.0802,0.0194,24.7662,1.2201,2.1252,3.2686,0.079,0.055,0.0363,0.4689,0.007,0.0008,0.0047,0.008,0.0074,0.0446,0.006,0.0739,2.4106,0.0603,0.0094,0.0018,0.0007,0.0379,0.0301,0.0767,primaryagr,255.114,0.0029,0.0152,8.0523,0.0194,1.1597,2.315,0.0156,0.0138,0.0036,0.0455,0.0003,0.0007,0.0003,0.0069,0.0035,0.0035,0.0001,0.0041,0.0997,0.0291,0.0013,0.0007,0.0005,0.0178,0.0028,0.0019,0.517387,0.658313,0.694861,0.492621,0.672124
3080,nga,2001,energy,33.9379,15.184,12782.0,16.825,15.8453,8.2855,8.224,8.7206,5.48,28.8243,91.6597,2.7353,69.7554,69.3592,7.8025,2.7699,11.0805,1.4021,13.6748,242.142,319.203,1.9249,0.5299,1.1745,81.3093,17.7756,6.0036,energy,1.3328,4.1293,11904.1,4.5594,2.9359,0.8012,0.0528,7.1793,1.2151,0.2105,3.7308,1.6957,3.3261,0.3616,0.6848,1.9432,5.0756,0.0541,0.0549,8.3477,65.4795,0.0957,0.0755,0.2118,47.0317,0.1231,0.0046,0.735383,0.882675,0.9159,0.872501,0.891469
3591,uga,2001,primaryagr,2410.58,2.9207,1.4033,116.966,70.6304,3.8296,0.5233,0.4096,0.0351,0.5179,0.3979,0.0118,0.4919,0.0618,0.2658,2.6588,1.3238,0.2688,16.0319,24.8187,7.9585,0.2068,0.0192,0.0292,0.3068,3.1756,54.8677,primaryagr,314.14,0.1237,0.9159,40.8432,1.6287,3.106,0.0259,0.1986,0.0411,0.1136,0.3607,0.0998,0.5033,0.0306,0.2137,2.5574,0.294,0.01,0.0043,0.959,3.0785,0.2025,0.0024,0.0023,0.0799,0.3351,1.3794,0.956203,0.415594,0.615645,0.578038,0.49742
3674,ven,2001,energy,50.3524,24.0122,14468.4,141.891,56.1649,20.7987,59.8014,30.3885,41.5575,56.4841,381.888,53.9921,652.856,187.491,207.821,132.56,62.6527,15.0516,534.289,617.879,529.163,21.5828,12.7438,21.8163,22.6159,461.91,389.215,energy,1.1073,12.2361,13245.1,4.2618,1.8064,1.8652,0.287,0.764,0.4359,3.0945,88.2687,40.4593,656.322,22.6541,10.825,17.3362,22.0737,0.0497,0.1584,2.0983,32.9793,0.2594,0.159,0.2623,1.495,4.585,6.2245,0.622326,0.693997,0.762776,0.665358,0.707667
3971,aze,2004,energy,36.0288,2.8046,3024.51,30.7964,13.2159,8.8805,0.8338,0.3757,5.7409,1.5729,81.171,0.704,73.3525,2.0713,6.5057,30.2849,5.6921,5.7569,136.007,40.9249,111.811,5.3367,0.1086,0.2258,9.3271,15.6848,82.6325,energy,5.7711,0.5763,2322.57,4.4807,1.0274,8.189,0.6261,0.2818,5.2219,1.1728,70.5716,0.4572,73.4179,1.579,5.5227,17.4488,4.8381,0.0939,0.3723,3.4704,58.1761,1.1503,0.0207,0.168,4.1887,0.7199,3.5848,0.507799,0.710223,0.783253,0.791112,0.740575
4023,ben,2004,primaryagr,782.247,0.294,0.0006,203.434,0.3991,9.864,2.047,0.0,4.6889,4.4831,0.0751,0.0022,1.8156,0.0001,0.0001,0.0001,0.0001,0.0139,5.97,0.5956,0.3873,0.8009,-0.0138,0.0098,0.2101,7.7869,5.6539,primaryagr,216.349,0.0969,0.0002,6.6685,0.0379,5.4182,0.1193,0.0,0.8403,0.4644,0.0242,0.0022,1.6063,0.0001,0.0001,0.0001,0.0001,0.0006,0.0372,0.0271,0.1716,0.0618,0.0029,0.0088,0.1223,1.1333,0.0783,0.751643,0.418744,0.513456,0.526929,0.492162
4050,bfa,2004,primaryagr,1164.25,0.2598,1.6166,201.5,48.1886,0.233,0.2455,0.9951,0.0293,0.0029,0.4208,0.1935,0.0161,0.0386,0.1615,0.3463,0.0157,0.0701,0.6612,44.2841,1.3639,0.5115,0.0926,0.1459,0.0201,0.1029,6.9776,primaryagr,415.726,0.0053,1.3895,15.5437,1.9368,0.0339,0.0087,0.5292,0.0044,0.0006,0.0684,0.0092,0.0069,0.0058,0.0132,0.0499,0.0014,0.001,0.0004,0.8746,0.4622,0.0103,0.0052,0.0051,0.0089,0.0054,0.0402,0.828143,0.462186,0.533587,0.47445,0.476784
4240,bwa,2004,otherprim,0.0353,2482.44,0.0082,1.2242,0.2081,0.0176,0.0169,0.0028,0.0061,0.0105,0.035,0.022,0.0059,0.0509,0.1856,0.0315,0.8032,0.016,23.7093,0.2401,0.4661,0.0089,0.0692,0.0185,0.3733,0.0858,2.8022,otherprim,0.004,2464.93,0.0,0.179,0.0078,0.0165,0.013,0.0025,0.0007,0.0061,0.0208,0.001,0.0059,0.0188,0.1801,0.027,0.1719,0.0018,0.1513,0.0204,0.3223,0.0023,0.0078,0.011,0.0982,0.0245,0.091,0.890411,0.651458,0.74122,0.650406,0.690708
4374,civ,2004,primaryagr,3724.51,1.5106,0.8991,422.25,28.331,27.4195,10.8229,3.9593,1.6367,1.2229,46.9523,0.388,0.3956,0.3345,3.0609,5.4193,1.8346,0.0067,2.3249,-1.3542,1.3917,0.1787,0.0479,0.0599,2.2892,0.1324,1.3382,primaryagr,1631.55,0.3284,0.7281,239.219,2.6729,7.8702,0.2565,1.0518,1.6224,0.3545,27.2978,0.269,0.3474,0.1507,3.36,5.5791,0.0538,0.0002,0.0507,0.0704,0.3517,0.0578,0.0165,0.0262,0.5037,0.0032,0.1294,0.59794,0.332172,0.514677,0.342675,0.38038
4592,ecu,2004,energy,81.4589,8.8223,5501.01,115.606,18.0274,13.6914,13.2195,7.0453,4.4505,15.6853,60.1932,3.6043,16.415,22.422,11.8441,24.159,43.3496,15.3303,101.915,33.2547,331.074,52.4054,35.5996,0.9142,1.9041,1.6065,124.797,energy,47.8013,1.01,3429.1,31.2523,0.5077,2.2724,0.7388,0.6195,2.9994,2.329,23.103,1.8943,16.4122,3.3248,2.8192,7.9729,1.9785,0.1972,0.0315,0.6182,99.0871,6.4469,0.6245,0.124,0.3087,0.3496,2.4835,0.614874,0.438863,0.543571,0.417786,0.45193
4833,gha,2004,primaryagr,2219.96,0.1256,0.004,136.387,29.7782,2.4272,0.0948,0.0035,0.064,0.0002,0.0046,0.0017,0.0058,0.0017,0.0001,0.0309,0.0,0.0,0.0281,0.0004,0.2017,0.0746,0.01,0.0116,0.0612,0.0124,19.6753,primaryagr,932.517,0.0596,0.001,51.4551,1.517,1.0385,0.012,0.0005,0.0523,0.0001,0.002,0.0017,0.0054,0.0005,0.0001,0.0047,0.0,0.0,0.0,0.0002,0.1491,0.0078,0.0016,0.0053,0.0555,0.003,0.6808,0.638237,0.415486,0.549832,0.459233,0.482852
4861,gin,2004,otherprim,0.1225,493.657,0.1025,0.205,0.4823,0.0538,0.4242,0.3866,4.6967,0.4704,0.003,0.7202,6.3828,0.0817,0.1608,0.0002,3.8408,0.161,15.4953,-0.0013,0.0734,0.0237,0.0209,0.0274,0.0573,0.7186,0.3864,otherprim,0.0065,372.086,0.114,0.0136,0.0004,0.0005,0.0014,0.0044,0.5317,0.0016,0.0031,0.0039,6.201,0.0103,0.0104,0.0002,0.0483,0.0003,0.7871,0.0001,0.0104,0.0004,0.0003,0.0015,0.0245,0.0051,0.0824,0.61582,0.494199,0.67323,0.427684,0.596378
